Market,state_code,Count_of_Market
 Hardware + Software ,DE,5
 Hardware + Software ,FL,29
 Hardware + Software ,GA,11
 Hardware + Software ,HI,2
 Hardware + Software ,IA,2
 Hardware + Software ,ID,2
 Hardware + Software ,IL,12
 Hardware + Software ,IN,8
 Hardware + Software ,KS,3
 Hardware + Software ,KY,6
 Hardware + Software ,MA,65
 Hardware + Software ,MD,17
 Hardware + Software ,MI,14
 Hardware + Software ,MN,17
 Hardware + Software ,MO,4
 Hardware + Software ,MS,2
 Hardware + Software ,MT,1
 Hardware + Software ,NC,17
 Hardware + Software ,ND,1
 Hardware + Software ,NH,3
 Hardware + Software ,NJ,20
 Hardware + Software ,NM,4
 Hardware + Software ,NV,2
 Hardware + Software ,NY,35
 Hardware + Software ,OH,16
 Hardware + Software ,OK,1
 Hardware + Software ,OR,9
 Hardware + Software ,PA,23
 Hardware + Software ,SC,4
 Hardware + Software ,SD,2
 Hardware + Software ,TN,9
 Hardware + Software ,TX,36
 Hardware + Software ,UT,9
 Hardware + Software ,VA,13
 Hardware + Software ,VT,1
 Hardware + Software ,WA,22
 Hardware + Software ,WI,3
 Health and Wellness ,AK,2
 Health and Wellness ,AL,6
 Health and Wellness ,AZ,13
 Health and Wellness ,CA,234
 Health and Wellness ,CO,22
 Health and Wellness ,CT,14
 Health and Wellness ,DC,4
 Health and Wellness ,DE,1
 Health and Wellness ,FL,40
 Health and Wellness ,GA,18
 Health and Wellness ,HI,2
 Health and Wellness ,IA,5
 Health and Wellness ,ID,4
 Health and Wellness ,IL,34
 Health and Wellness ,IN,8
 Health and Wellness ,KS,6
 Health and Wellness ,KY,5
 Health and Wellness ,LA,5
 Health and Wellness ,MA,55
 Health and Wellness ,MD,27
 Health and Wellness ,MI,9
 Health and Wellness ,MN,21
 Health and Wellness ,MO,7
 Health and Wellness ,MT,2
 Health and Wellness ,NC,20
 Health and Wellness ,NE,4
 Health and Wellness ,NH,2
 Health and Wellness ,NJ,23
 Health and Wellness ,NM,4
 Health and Wellness ,NV,6
 Health and Wellness ,NY,69
 Health and Wellness ,OH,20
 Health and Wellness ,OK,4
 Health and Wellness ,OR,6
 Health and Wellness ,PA,30
 Health and Wellness ,RI,3
 Health and Wellness ,SC,4
 Health and Wellness ,SD,2
 Health and Wellness ,TN,31
 Health and Wellness ,TX,56
 Health and Wellness ,UT,13
 Health and Wellness ,VA,19
 Health and Wellness ,VT,2
 Health and Wellness ,WA,20
 Health and Wellness ,WI,6
 Health and Wellness ,WV,2
 Health Care ,AL,2
 Health Care ,AR,2
 Health Care ,AZ,17
 Health Care ,CA,263
 Health Care ,CO,24
 Health Care ,CT,16
 Health Care ,DC,2
 Health Care ,FL,30
 Health Care ,GA,17
 Health Care ,IA,1
 Health Care ,IL,22
 Health Care ,IN,5
 Health Care ,KS,5
 Health Care ,KY,3
 Health Care ,LA,1
 Health Care ,MA,78
 Health Care ,MD,8
 Health Care ,ME,1
 Health Care ,MI,11
 Health Care ,MN,40
 Health Care ,MO,8
 Health Care ,MS,1
 Health Care ,MT,1
 Health Care ,NC,17
 Health Care ,NH,4
 Health Care ,NJ,22
 Health Care ,NM,3
 Health Care ,NV,4
 Health Care ,NY,37
 Health Care ,OH,23
 Health Care ,OK,3
 Health Care ,OR,9
 Health Care ,PA,32
 Health Care ,RI,4
 Health Care ,SC,3
 Health Care ,SD,1
 Health Care ,TN,36
 Health Care ,TX,46
 Health Care ,UT,7
 Health Care ,VA,13
 Health Care ,WA,28
 Health Care ,WI,13
 Health Care ,WY,1
 Manufacturing ,AL,3
 Manufacturing ,AR,4
 Manufacturing ,AZ,6
 Manufacturing ,CA,135
 Manufacturing ,CO,19
 Manufacturing ,CT,18
 Manufacturing ,DC,5
 Manufacturing ,DE,1
 Manufacturing ,FL,22
 Manufacturing ,GA,8
 Manufacturing ,HI,1
 Manufacturing ,IA,2
 Manufacturing ,ID,1
 Manufacturing ,IL,14
 Manufacturing ,IN,5
 Manufacturing ,KY,8
 Manufacturing ,LA,3
 Manufacturing ,MA,29
 Manufacturing ,MD,10
 Manufacturing ,ME,3
 Manufacturing ,MI,7
 Manufacturing ,MN,15
